ACC-1053,I0000307
ACC-1054,I0000308
ACC-1051,I0000309
ACC-1052,I0000310
ACC-1055,I0000311
ACC-1307,I0000312
ACC-1059,I0000313
ACC-1060,I0000314
ACC-1036,I0000315
ACC-1041,I0000316
ACC-1330,I0000317
ACC-1043,I0000319
ACC-1078,I0000320
ACC-1518,I0000322
ACC-1472,I0000323
ACC-1482,I0000324
ACC-1304,I0000325
ACC-1657,I0000326
ACC-1306,I0000327
ACC-1297,I0000328
ACC-1181,I0000329
ACC-1662,I0000330
ACC-1530,I0000331
ACC-1295,I0000332
ACC-1616,I0000333
ACC-1589,I0000334
ACC-1646,I0000335
ACC-1586,I0000336
ACC-1485,I0000337
ACC-1521,I0000338
ACC-1584,I0000339
ACC-1216,I0000340
BAG-1006,I0000343
ACC-1588,I0000344
ACC-1529,I0000345
ACC-1516,I0000355
ACC-1608,I0000357
ACC-1614,I0000358
ACC-1501,I0000359
ACC-1129,I0000360
ACC-1377,I0000361
ACC-1607,I0000362
ACC-1378,I0000363
ACC-1001,I0000364
M-AP-1008,I0000365
U-AP-1003,I0000371
U-AP-1004,I0000373
M-BG-1006,I0000374
M-BG-1007,I0000375
M-BG-1009,I0000376
M-BG-1008,I0000377
M-BG-1010,I0000380
M-BG-1011,I0000381
U-BG-1009,I0000383
U-BG-1006,I0000384
U-BG-1005,I0000387
W-BG-1153,I0000393
W-BG-1151,I0000394
W-BG-1227,I0000395
W-BG-1270,I0000396
W-BG-1224,I0000398
W-BG-1272,I0000399
W-BG-1269,I0000403
W-BG-1152,I0000404
W-BG-1150,I0000405
W-BG-1228,I0000408
W-BG-1231,I0000409
W-BG-1239,I0000410
W-BG-1226,I0000411
W-BG-1275,I0000415
W-BG-1234,I0000416
W-BG-1236,I0000417
W-BG-1267,I0000420
W-BG-1276,I0000422
W-BG-1229,I0000424
W-BG-1230,I0000425
K-BB-1030,I0000429
K-BB-1088,I0000430
K-BB-1080,I0000431
K-BB-1077,I0000432
K-BB-1078,I0000433
K-BB-1075,I0000434
K-BB-1089,I0000435
K-BB-1081,I0000436
K-BB-1108,I0000437
K-BB-1059,I0000438
K-BB-1079,I0000439
K-BB-1076,I0000440
K-BB-1082,I0000442
K-BB-1119,I0000443
K-BB-1103,I0000444
K-BB-1064,I0000445
K-BB-1070,I0000446
K-BB-1090,I0000448
K-BB-1066,I0000450
K-BB-1072,I0000451
K-BB-1113,I0000455
K-BB-1071,I0000456
